name	dist_sep	flux	flux_err	eflux	eflux_err	index	index_err	gal_pref	gal_pref_err	iso_norm	iso_norm_err	flux_ul	eflux_ul	TS
UN587731521207730241	0.42	4.17e-11	2.28e-11	2.8e-07	1.59e-07	1.96	0.33	0.99	0.08	0.97	0.09	7.36e-11	4.95e-07	14.11
RCS1514_08938	0.157	9.05e-11	3.33e-11	2.69e-07	1.03e-07	2.47	0.34	1.02	0.03	0.82	0.1	1.42e-10	4.23e-07	14.04
UN588017605214011603	0.282	3.93e-11	1.81e-11	3.06e-07	1.85e-07	1.9	0.3	1.0	0.12	1.05	0.11	6.75e-11	5.26e-07	13.98
GZ587739505016176650	0.024	7.24e-11	2.46e-11	1.62e-07	5.97e-08	2.8	0.45	0.43	0.04	1.53	0.04	1.13e-10	2.53e-07	13.92
UN587735742614405278	0.357	7.4e-11	2.41e-11	1.63e-07	5.87e-08	2.82	0.41	0.84	0.05	1.18	0.06	1.15e-10	2.53e-07	13.86
UN587729154134179961	0.462	2.25e-11	1.39e-11	2.72e-07	1.82e-07	1.72	0.34	1.37	0.09	0.67	0.09	4.23e-11	5.12e-07	13.85
GZ587729158426853468	0.414	7.8e-11	3.03e-11	3.03e-07	1.4e-07	2.26	0.32	0.91	0.06	1.11	0.11	1.26e-10	4.89e-07	13.83
UN587728670419583186	0.271	3.59e-11	1.88e-11	3.33e-07	2.17e-07	1.83	0.33	0.87	0.04	1.18	0.07	6.37e-11	5.92e-07	13.78
GZ588017992302395611	0.31	5.75e-11	2.3e-11	3.72e-07	2.02e-07	1.98	0.27	0.79	0.06	1.39	0.11	9.44e-11	6.11e-07	13.73
GZ587741420564250754	0.441	5.62e-11	2.47e-11	3.6e-07	1.97e-07	1.99	0.3	0.93	0.06	1.19	0.11	9.36e-11	6e-07	13.65
GZ587729777453760829	0.126	8.32e-11	4.02e-11	4.95e-07	2.59e-07	2.02	0.33	0.94	0.02	1.28	0.09	1.37e-10	8.17e-07	13.55
RCS0133_03156	0.033	7.14e-11	2.7e-11	2.78e-07	1.36e-07	2.26	0.32	1.1	0.06	0.87	0.08	1.15e-10	4.49e-07	13.48
